Weeklyearnings,female,age,agesquared,dropout,hsgrad,somecoll,collgrad,collplus
100,1,34,1156,0,1,0,0,0
101.4,1,45,2025,0,0,1,0,0
102,1,35,1225,1,0,0,0,0
102,1,45,2025,1,0,0,0,0
103,1,21,441,0,0,1,0,0
103,1,49,2401,0,1,0,0,0
103,0,21,441,0,1,0,0,0
103,1,64,4096,0,1,0,0,0
103,0,33,1089,1,0,0,0,0
103,1,21,441,0,0,1,0,0
103,1,22,484,0,0,1,0,0
103,1,25,625,0,0,1,0,0
103.04,1,21,441,0,0,1,0,0
103.2,1,28,784,0,0,1,0,0
103.84,0,61,3721,0,0,0,1,0
103.84,1,53,2809,0,1,0,0,0
104,1,58,3364,1,0,0,0,0
104,1,19,361,0,1,0,0,0
104,0,18,324,1,0,0,0,0
104,1,35,1225,0,1,0,0,0
104,1,18,324,1,0,0,0,0
105,1,19,361,0,0,1,0,0
105,0,18,324,0,0,1,0,0
105,1,18,324,1,0,0,0,0
105,1,65,4225,0,1,0,0,0
105,0,22,484,0,0,1,0,0
105,0,24,576,0,1,0,0,0
105,1,21,441,0,0,1,0,0
105,0,18,324,0,1,0,0,0
105,1,42,1764,0,1,0,0,0
105,1,57,3249,0,1,0,0,0
105,1,19,361,1,0,0,0,0
105,0,24,576,0,0,1,0,0
105,1,52,2704,0,0,1,0,0
105,1,18,324,1,0,0,0,0
105,0,18,324,0,1,0,0,0
105,0,23,529,0,0,1,0,0
105,1,38,1444,0,0,1,0,0
105.88,1,28,784,0,0,0,1,0
106.2,1,48,2304,0,1,0,0,0
107,1,56,3136,1,0,0,0,0
108,1,32,1024,0,0,1,0,0
108,0,18,324,1,0,0,0,0
108,1,19,361,0,0,1,0,0
108,0,18,324,1,0,0,0,0
108.75,1,61,3721,0,0,1,0,0
109.25,1,18,324,0,0,1,0,0
109.25,1,24,576,0,0,1,0,0
110,0,18,324,0,1,0,0,0
110,1,25,625,0,1,0,0,0
110,1,36,1296,0,0,1,0,0
110,1,64,4096,1,0,0,0,0
110,1,31,961,0,1,0,0,0
110,0,44,1936,1,0,0,0,0
110,0,20,400,0,1,0,0,0
110.76,1,41,1681,0,1,0,0,0
112,1,37,1369,0,1,0,0,0
112,1,31,961,0,0,0,1,0
112,0,48,2304,1,0,0,0,0
112,1,19,361,0,0,1,0,0
112,1,28,784,0,1,0,0,0
112,1,21,441,0,0,1,0,0
112,0,52,2704,0,1,0,0,0
112,1,25,625,1,0,0,0,0
112,1,18,324,0,1,0,0,0
112,1,19,361,0,0,1,0,0
112,0,38,1444,1,0,0,0,0
112,1,52,2704,0,1,0,0,0
112,1,23,529,0,0,1,0,0
112,0,18,324,1,0,0,0,0
112.15,1,34,1156,0,1,0,0,0
112.5,1,30,900,0,1,0,0,0
112.5,0,18,324,1,0,0,0,0
113,1,18,324,1,0,0,0,0
113,1,34,1156,0,0,0,1,0
113.07,1,27,729,0,0,0,1,0
114,1,23,529,0,0,1,0,0
114,1,41,1681,0,0,1,0,0
114,1,20,400,0,0,1,0,0
114,1,19,361,0,0,1,0,0
114,1,25,625,0,0,1,0,0
115,1,20,400,0,0,1,0,0
115,1,49,2401,0,0,0,0,1
115,1,54,2916,0,0,0,1,0
115,1,20,400,0,1,0,0,0
115,1,23,529,0,0,1,0,0
115,0,20,400,0,0,1,0,0
115,0,26,676,0,1,0,0,0
115,1,30,900,0,1,0,0,0
115,1,21,441,0,1,0,0,0
115,1,28,784,0,0,1,0,0
115,0,18,324,0,0,1,0,0
115,1,18,324,0,0,1,0,0
115,0,20,400,0,1,0,0,0
115,1,20,400,1,0,0,0,0
115,1,18,324,1,0,0,0,0
115.38,1,25,625,0,0,0,0,1
115.38,1,33,1089,0,0,1,0,0
115.38,1,44,1936,0,0,1,0,0
115.38,1,43,1849,0,0,1,0,0
115.38,0,32,1024,0,0,0,1,0
115.38,1,22,484,0,0,1,0,0
115.38,0,19,361,0,1,0,0,0
115.38,0,25,625,0,0,1,0,0
115.38,1,33,1089,0,0,0,1,0
115.38,1,42,1764,0,0,1,0,0
115.4,0,42,1764,0,1,0,0,0
115.5,0,27,729,0,0,1,0,0
116,1,28,784,0,0,1,0,0
116.25,0,20,400,0,0,1,0,0
117,0,19,361,1,0,0,0,0
117,1,62,3844,1,0,0,0,0
117,1,48,2304,0,1,0,0,0
117,1,30,900,0,0,1,0,0
117,1,56,3136,0,0,0,1,0
117.3,1,25,625,0,0,1,0,0
117.6,1,21,441,1,0,0,0,0
